signal_time,ticker,symbol,data_source,is_risky,is_short,strategy,outcome,entry_time,entry_price,first_tp_price,sl_price,exit_time,tps_in_signal,tps_hit,duration_h,pnl_usdt,pnl_pct,fees_usdt,fills_json
2026-02-17 04:03:35+00:00,PROM,PROMUSDT,binance,False,False,A_SELL_ALL_TP1,ALL_TPS_FILLED,2026-02-17 04:15:00+00:00,1.54,1.6,1.37,2026-02-17 06:30:00+00:00,2,1,2.25,3.488311688311687,0.03488311688311687,0.4077922077922078,"[{""qty"": 64.93506493506493, ""price"": 1.6, ""time"": ""2026-02-17 06:30:00+00:00"", ""reason"": ""TP1""}]"
2026-02-17 15:02:22+00:00,TNSR,TNSRUSDT,binance,False,False,A_SELL_ALL_TP1,FULL_SL,2026-02-17 15:15:00+00:00,0.0552,0.065,0.0486,2026-02-19 13:30:00+00:00,3,0,46.25,-12.332608695652176,-0.12332608695652177,0.3760869565217392,"[{""qty"": 1811.5942028985507, ""price"": 0.0486, ""time"": ""2026-02-19 13:30:00+00:00"", ""reason"": ""SL""}]"
2026-02-21 01:45:57+00:00,USELESS,ccxt:mexc,ccxt_global,False,False,A_SELL_ALL_TP1,FULL_SL,2026-02-21 02:00:00+00:00,0.043884,0.047,0.038,2026-02-22 03:00:00+00:00,2,0,25.0,-13.78125968462309,-0.1378125968462309,0.3731838483274087,"[{""qty"": 2278.7348464132715, ""price"": 0.038, ""time"": ""2026-02-22 03:00:00+00:00"", ""reason"": ""SL""}]"
2026-03-04 22:52:38+00:00,COOKIE,COOKIEUSDT,binance,False,False,A_SELL_ALL_TP1,FULL_SL,2026-03-04 23:00:00+00:00,0.0225,0.025,0.02,2026-03-06 16:00:00+00:00,3,0,41.0,-11.488888888888892,-0.11488888888888893,0.37777777777777777,"[{""qty"": 4444.444444444444, ""price"": 0.02, ""time"": ""2026-03-06 16:00:00+00:00"", ""reason"": ""SL""}]"
2026-03-04 23:04:31+00:00,USELESS,ccxt:mexc,ccxt_global,False,False,A_SELL_ALL_TP1,FULL_SL,2026-03-05 00:00:00+00:00,0.047058,0.053,0.037,2026-03-08 16:00:00+00:00,2,0,88.0,-21.73087679034383,-0.2173087679034383,0.35725275192315864,"[{""qty"": 2125.0371881507926, ""price"": 0.037, ""time"": ""2026-03-08 16:00:00+00:00"", ""reason"": ""SL""}]"
2026-03-04 23:12:38+00:00,WET,ccxt:mexc,ccxt_global,False,False,A_SELL_ALL_TP1,FULL_TIMEOUT,2026-03-05 00:00:00+00:00,0.11636,0.143,0.096,2026-03-18 23:00:00+00:00,2,0,335.0,-8.28210725335168,-0.08282107253351681,0.38420419388105875,"[{""qty"": 859.4018563080095, ""price"": 0.10717, ""time"": ""2026-03-18 23:00:00+00:00"", ""reason"": ""TIMEOUT""}]"
2026-03-08 05:47:21+00:00,SENT,SENTUSDT,binance,False,False,A_SELL_ALL_TP1,FULL_SL,2026-03-08 06:00:00+00:00,0.02383,0.027,0.0224,2026-03-09 00:00:00+00:00,2,0,18.0,-6.3888375996642965,-0.06388837599664296,0.3879983214435585,"[{""qty"": 4196.39110365086, ""price"": 0.0224, ""time"": ""2026-03-09 00:00:00+00:00"", ""reason"": ""SL""}]"
2026-03-09 05:36:38+00:00,TRIA,ccxt:mexc,ccxt_global,False,False,A_SELL_ALL_TP1,ALL_TPS_FILLED,2026-03-09 06:00:00+00:00,0.02589,0.028,0.019,2026-03-10 20:00:00+00:00,2,1,38.0,7.733565083043656,0.07733565083043656,0.416299729625338,"[{""qty"": 3862.4951718810353, ""price"": 0.028, ""time"": ""2026-03-10 20:00:00+00:00"", ""reason"": ""TP1""}]"
2026-03-15 02:50:29+00:00,HOOK,CG:hooked-protocol,coingecko,False,False,A_SELL_ALL_TP1,FULL_SL,2026-03-15 03:14:06.470000+00:00,0.022468032705643286,0.03,0.018,2026-03-18 10:03:38.315000+00:00,2,0,78.82551249999999,-20.246404438925406,-0.20246404438925406,0.3602276464149792,"[{""qty"": 4450.7679559716435, ""price"": 0.018, ""time"": ""2026-03-18 10:03:38.315000+00:00"", ""reason"": ""SL""}]"
2026-03-17 05:32:49+00:00,PENDLE,PENDLEUSDT,binance,False,False,A_SELL_ALL_TP1,FULL_SL,2026-03-17 05:45:00+00:00,1.344,1.56,1.23,2026-03-19 12:45:00+00:00,2,0,55.0,-8.865178571428576,-0.08865178571428575,0.38303571428571426,"[{""qty"": 74.4047619047619, ""price"": 1.23, ""time"": ""2026-03-19 12:45:00+00:00"", ""reason"": ""SL""}]"
2026-03-18 03:33:31+00:00,COLLECT,ccxt:mexc,ccxt_global,False,False,A_SELL_ALL_TP1,ALL_TPS_FILLED,2026-03-18 04:00:00+00:00,0.07116,0.085,0.0442,2026-03-23 09:00:00+00:00,2,1,125.0,19.01023046655426,0.1901023046655426,0.43889825744800454,"[{""qty"": 1405.283867341203, ""price"": 0.085, ""time"": ""2026-03-23 09:00:00+00:00"", ""reason"": ""TP1""}]"
2026-03-23 15:51:41+00:00,TAO,TAOUSDT,binance,False,False,A_SELL_ALL_TP1,ALL_TPS_FILLED,2026-03-23 16:00:00+00:00,282.3,320.0,244.0,2026-03-24 07:45:00+00:00,2,1,15.75,12.927878143818631,0.1292787814381863,0.4267091746369111,"[{""qty"": 0.35423308537017356, ""price"": 320.0, ""time"": ""2026-03-24 07:45:00+00:00"", ""reason"": ""TP1""}]"
